streetaddr,city,state,zip,stationpho,cardsaccep,type,psi3000,psi3100,lat,lon,id,stationnam
8190 S Pariette Rd,Myton,UT,84052,801-952-2942  801-886-7200,a,a,1,1,40.1280816,-109.9854145,49288,Blu LNG - Blu Travel Plaza
2450 S Highway 191,Moab,UT,84532,801-324-3900,a,a,1,1,38.537069,-109.513258,35786,Questar Gas - Moab Service Center
4101 Wible Rd,Bakersfield,CA,93313,800-684-4648,a,a,1,1,35.316494,-119.0394394,801,PG&E Bakersfield Service Center
12125 Day St,Moreno Valley,CA,92557,866-232-8137,a,a,1,1,33.945941,-117.279705,48516,Go Natural Gas
3520 NW 36th St,Lincoln,NE,68524,402-458-2480,a,a,1,1,40.84754,-96.7722,38484,Lincoln Airport Authority
6000 Debbielou Gardens Dr,Houston,TX,77034,281-484-3875,a,a,1,1,29.6186502,-95.1903552,49286,Freedom CNG
11 Riverside St,Nashua,NH,3062,617-242-8755,a,a,1,1,42.748922,-71.497919,41356,Alternative Vehicle Service Group - Nashua
412 SE 59th St,Oklahoma City,OK,73129,888-609-2410  800-664-5463,a,a,1,1,35.4062353,-97.5027129,740,Oklahoma Natural Gas - Southside Service Center
2800 Workman Mill Rd,Whittier,CA,90601,562-493-2804,a,a,1,1,34.02413,-118.033024,41172,Clean Energy - Los Angeles County Sanitation District
1440 S Cucamonga St,Ontario,CA,91761,909-395-2640,a,a,1,1,34.047068,-117.634077,1370,City of Ontario - City Yard
680 Ridge Pike,Plymouth Meeting,PA,19462,610-648-7809,a,a,1,1,40.096708,-75.296836,787,PECO Energy - Plymouth Station
18825 Old LaGrange Rd,Mokena,IL,60448,708-446-5542,a,a,1,1,41.548323,-87.850177,52486,Ozinga Energy - Mokena Station
117 N Winter St,Adrian,MI,49221,517-264-4447  517-265-2144,a,a,1,1,41.8999666,-84.0374774,156,DTE Energy - Citizens Gas Fuel Co
1595 Mendon Rd,Cumberland,RI,2864,866-278-3674,a,a,1,1,41.9403704,-71.4331101,7118,Clean Energy - National Grid Cumberland
15330 Woodruff Ave,Bellflower,CA,90706,562-923-5441,a,a,1,1,33.8948596,-118.116177,21985,California Clean Fuels
2615 S 64th Ave,Omaha,NE,68106,402-554-6666,a,a,1,1,41.235084,-96.012438,38060,Metropolitan Utilities District
700 Scaramella Cir,Hemet,CA,92545,951-565-5000,a,a,1,1,33.735948,-117.011173,34321,Riverside Transit Agency - Hemet - Public Access
7984 US Highway 85,Fort Lupton,CO,80621,303-857-9985,a,a,1,1,40.1161043,-104.8105946,36294,North Station
1235 Rush-Scottsville Rd,Rush,NY,14543,866-278-3674  716-272-3310,a,a,1,1,43.0030672,-77.6736116,32799,Clean Energy - New York State Department of Transportation
101 S Main St,Owasso,OK,74055,918-641-2583,a,a,1,1,36.264896,-95.854698,36773,Blue Energy Fuels - City of Owasso
2727 Brice Rd,Reynoldsburg,OH,43068,614-398-3401,a,a,1,1,39.92805,-82.8312849,41634,CNG Trans
4295 Clevemont Rd,Ellenwood,GA,30294,404-273-6382,a,a,1,1,33.6530902,-84.2538386,36304,Dekalb County - Seminole Road Landfill
3601 NE Indiana St,Bartlesville,OK,74006,888-609-2410  800-664-5463,a,a,1,1,36.7624531,-95.9388963,20920,Oklahoma Natural Gas - Bartlesville Service Center
1550 County Rd 715,Hanceville,AL,35077,256-737-1600,a,a,1,1,34.1330416,-86.8167177,53619,Cullman - Jefferson Gas
100 N Riverfront Blvd,Dallas,TX,75207,562-493-2804,a,a,1,1,32.7797007,-96.8133413,37120,Clean Energy - Downtown Dallas
1001 Fairview St,Camden,NJ,8104,800-950-3835,a,a,1,1,39.9141814,-75.1075644,39060,Clean N' Green - Waste Management
100 Lindbergh Rd,Newark,NJ,7114,973-624-0300  516-710-1898,a,a,1,1,40.691831,-74.184861,36310,Newark Liberty International Airport - Gulf
5848 E 15th St,Tulsa,OK,74112,888-609-2410  800-664-5463,a,a,1,1,36.138765,-95.9112899,755,Oklahoma Natural Gas - Tulsa Service Center
1175 S Main St,Heber City,UT,84032,435-654-5530,a,a,1,1,40.493191,-111.412469,41084,Mountainland One Stop
4750 W South Ave,Tampa,FL,33614,562-493-2804,a,a,1,1,27.99152,-82.5234,40323,Clean Energy - Hillsborough County Aviation Authority - Tampa International Airport
501 North F St,Wasco,CA,93280,661-756-7236,a,a,1,1,35.5968661,-119.3337364,34832,City of Wasco
267 Fritz Rd,Lock Haven,PA,17745,570-769-6977,a,a,1,1,41.158537,-77.349168,53005,Wayne Township Landfill
127 Whites Path,South Yarmouth,MA,2664,800-233-5325,a,a,1,1,41.688787,-70.201253,139,Clean Energy - National Grid Cape Cod
1069 Wilkes Rd,Fayetteville,NC,28306,864-286-7911,a,a,1,1,35.026178,-78.867459,51475,Piedmont Natural Gas - Fayetteville - Public Access
2222 Unified Way,San Jose,CA,95125,800-920-1166,a,a,1,1,37.2966371,-121.8733311,18925,Trillium CNG - San Jose Unified School District
796 Washington Ave,Mansfield,LA,71052,318-872-0325,a,a,1,1,32.0302328,-93.7108581,41449,Chevron - Shop A Lot #3
3754 E California Ave,Fresno,CA,93725,800-684-4648,a,a,1,1,36.7213057,-119.760617,806,PG&E Fresno Service Center
1121 Radisson St,Green Bay,WI,54302,920-432-0771,a,a,1,1,44.525125,-87.991544,53778,Trillium CNG - Radisson St - Green Bay WI
3535 India St,San Diego,CA,92103,562-493-2804,a,a,1,1,32.739694,-117.17785,48901,Clean Energy - San Diego Airport - India Shell
2712 Discovery Dr,Raleigh,NC,27616,877-776-2427,a,a,1,1,35.8617339,-78.594068,907,PSNC Energy
101 Railroad Ave,Rifle,CO,81650,970-625-4022,a,a,1,1,39.529963,-107.783646,35939,Shell - Rocky Mountain Alternative Fueling
7496 Round Pond Rd,North Syracuse,NY,13212,866-278-3674,a,a,1,1,43.133934,-76.08708,42092,Clean Energy - National Grid Beacon North
100 Ransier Dr,West Seneca,NY,14224,800-950-3835,a,a,1,1,42.844172,-78.74579,42093,Clean N' Green - Waste Management
709 W Sunset Rd,Henderson,NV,89011,702-676-1500,a,a,1,1,36.063591,-115.022969,1081,Clean Energy - Regional Transportation Commission of Southern Nevada
3751 Greenfield Rd,Melvindale,MI,48122,888-383-5648,a,a,1,1,42.2917824,-83.1763718,37620,DTE Energy - Allen Rd
500 44th St SW,Wyoming,MI,49548,888-383-5648,a,a,1,1,42.881889,-85.676462,40831,DTE Energy - Padnos
400 E Blaine St,Gary,IN,46406,708-446-5542,a,a,1,1,41.605516,-87.429389,52204,Ozinga Energy - Gary
800 S Broadway,Edmond,OK,73034,405-330-6009,a,a,1,1,35.646194,-97.481951,36587,OnCue Express #105 - C-Store
11363 Center Rd,Sheridan,NY,14135,716-672-2788,a,a,1,1,42.4912,-79.237,51034,Cotton CNG
536 Treat Ave,San Francisco,CA,94110,800-684-4648,a,a,1,1,37.7604822,-122.4137745,813,PG&E San Francisco Service Center
1830 Agua Mansa Rd,Riverside,CA,92509,951-486-3200  562-493-2804,a,a,1,1,34.023199,-117.380669,39196,Clean Energy - Riverside County Waste Management
11790 Highway 4,Upper Sandusky,OH,43351,419-294-3838,a,a,1,1,40.905689,-83.289944,53322,Kalmbach Clean Fuels
112 Verbena St,Charlotte,NC,28217,704-587-3128,a,a,1,1,35.1836144,-80.8798179,53318,Piedmont Natural Gas - Charlotte - Public Access Rear
4211 Groves Rd,Columbus,OH,43232,614-645-8281  614-288-7947,a,a,1,1,39.9297003,-82.8855805,36584,City of Columbus Fleet Management
1200 Mississippi St,San Francisco,CA,94107,562-493-2804,a,a,1,1,37.751347,-122.39527,30634,Clean Energy - Yellow Cab Co-op
1721 Alum Creek Dr,Columbus,OH,43207,740-327-7255  740-404-2123,a,a,1,1,39.9336262,-82.9422277,20858,CNG Auto Sales - Franklin County
205 Sigma Pl,Guthrie,OK,73044,800-664-5463  888-609-2410,a,a,1,1,35.8587409,-97.425514,20916,Oklahoma Natural Gas - Guthrie Service Center
211 Maury St,Richmond,VA,23224,562-493-2804,a,a,1,1,37.5225859,-77.433474,48915,Clean Energy - Quarles
14501 Park Ln,Desert Hot Springs,CA,92240,562-493-2804,a,a,1,1,33.94317,-116.498,26307,Clean Energy - Desert Hot Springs Mission Springs Water District
5317 SE 44th St,Norman,OK,73072,405-364-0059,a,a,1,1,35.1820926,-97.519413,46194,Love's Country Store #260
4600 Rib Mountain Dr,Wausau,WI,54401,800-920-1166,a,a,1,1,44.914159,-89.650533,44852,Trillium HD - Rib Mountain Travel Center
3200 Crater Lake Ave,Medford,OR,97504,541-779-5821,a,a,1,1,42.3637024,-122.8556042,18888,Rogue Valley Transportation District
534 N Barranca Ave,Covina,CA,91723,626-384-5480,a,a,1,1,34.0912461,-117.881311,1009,City of Covina - City Corporate Yard
5555 Florin-Perkins Rd,Sacramento,CA,95826,800-684-4648,a,a,1,1,38.526126,-121.388521,842,PG&E Florin-Perkins Service Center
3101 Beverly Manor Dr,Seal Beach,CA,90740,562-493-2804,a,a,1,1,33.773534,-118.077463,18929,Clean Energy - Seal Beach
117 W Summit St,Ann Arbor,MI,48104,888-383-5648,a,a,1,1,42.288346,-83.7464789,21752,DTE Energy - Ann Arbor Municipal Garage
5220 Metro Park Dr,Tuscaloosa,AL,35405,205-326-8180,a,a,1,1,33.161768,-87.55676,44841,Alagasco Tuscaloosa Operations Center - Public
7102 Silver Creek Rd,Park City,UT,84098,435-649-9243,a,a,1,1,40.7358029,-111.4998189,52695,CNG America - Bells Silver Creek - Sinclair
1020 N Hercules Ave,Clearwater,FL,33755,727-562-4900,a,a,1,1,27.975825,-82.7546295,35593,Clearwater Gas Systems
4555 Edison Dr,College Park,GA,30337,781-685-4857,a,a,1,1,33.632322,-84.465897,33716,Clean Energy - College Park
808 W Main St,Medford,OR,97501,541-774-6960,a,a,1,1,42.3237416,-122.8804171,18887,Jackson County Motorpool
592 Superior Ave,Newport Beach,CA,92663,562-493-2804,a,a,1,1,33.632034,-117.92754,35656,Clean Energy - Newport Beach
73 E Carson St,Pittsburgh,PA,15219,412-471-1529,a,a,1,1,40.4307664,-80.0006111,52691,American Natural Energy Centre
975 W Main St,Rock Hill,SC,29730,803-323-5321,a,a,1,1,34.9358326,-81.0424482,39655,York County Natural Gas Authority
16644 S Elm Ave,Caruthers,CA,93609,559-644-1000,a,a,1,1,36.4936126,-119.7911401,26821,Southwest Education Support Service Center
645 Pine St,Burlington,VT,5401,802-863-9094,a,a,1,1,44.4614881,-73.2148785,35055,City of Burlington
38 Allegiance Cir,Evanston,WY,82930,307-783-4934,a,a,1,1,41.26168,-110.992,35056,Questar Gas - Evanston
500 W Commerce,Clinton,OK,73601,888-609-2410  800-664-5463,a,a,1,1,35.479664,-98.9797011,20918,Oklahoma Natural Gas - Clinton Service Center
205 Brush St,Oakland,CA,94607,562-493-2804,a,a,1,1,37.798972,-122.283854,30630,Clean Energy - Port of Oakland
10129 US Highway 62 W,Princeton,KY,42445,270-365-6200,a,a,1,1,37.1044239,-87.9900679,44513,Freedom Waste Service
506 Cass St,La Crosse,WI,54601,608-782-6474,a,a,1,1,43.808351,-91.249744,44847,Kwik Trip #761
6427 Oak Canyon,Irvine,CA,92618,562-493-2804,a,a,1,1,33.6757665,-117.7648651,1022,Clean Energy - Irvine City Yard
9240 E Firestone Blvd,Downey,CA,90241,213-244-5681,a,a,1,1,33.9324875,-118.1191132,1353,SoCalGas - Energy Resource Center
1130 Tupelo St,Memphis,TN,38108,901-320-1473,a,a,1,1,35.1668822,-89.9727942,1215,"Memphis Light, Gas and Water - Choctaw Station"
11099 E I-25 Frontage Rd,Firestone,CO,80504,678-450-2189,a,a,1,1,40.16198,-104.977,39185,SkyBlu
1050 W 200 N,Logan,UT,84321,435-753-7461,a,a,1,1,41.7356317,-111.8606013,548,LW's Conoco
950 N Todd Ave,Azusa,CA,91702,213-244-5681,a,a,1,1,34.13858,-117.923815,25600,SoCalGas - Azusa Base
334 E Riverside Dr,Saint George,UT,84790,435-674-7699,a,a,1,1,37.0815864,-113.5767967,35787,Sinclair
201 Highway 3175,Natchitoches,LA,71457,318-357-1436,a,a,1,1,31.7539641,-93.0850121,60087,Shop A Lott #20
179 Turner Tpk,Stroud,OK,74079,888-609-2410,a,a,1,1,35.751853,-96.689631,752,Phillips 66 Station
800 S Morgan Rd,Oklahoma City,OK,73128,405-789-0087,a,a,1,1,35.457895,-97.688408,47291,Love's Travel Stop #203
97 Crooked Hill Rd,Commack,NY,11725,800-920-1166  801-674-5806,a,a,1,1,40.8063513,-73.288898,44844,Trillium CNG - Suffolk County - Commack
533 Industrial Park Rd,Jane Lew,WV,26378,877-742-4476,a,a,1,1,39.100661,-80.395092,60209,IGS CNG Services
10400 Aviation Blvd,Los Angeles,CA,90045,562-493-2804,a,a,1,1,33.94165802,-118.3780136,1251,Clean Energy - Los Angeles International Airport
9150 S 500 W,Sandy,UT,84070,801-324-3900  801-324-5987,a,a,1,1,40.5836088,-111.9057181,522,Questar Gas - Sandy
1000 N Jefferson Ave,Casa Grande,AZ,85122,800-920-1166,a,a,1,1,32.882278,-111.777442,46345,Trillium CNG - Golden Eagle - Casa Grande
501 W 61 St,Minneapolis,MN,55419,612-861-8447,a,a,1,1,44.89148,-93.2858,606,CenterPoint Energy - Minnegasco
20350 Madrona Ave,Torrance,CA,90503,562-493-2804,a,a,1,1,33.846788,-118.344743,40851,Clean Energy - City of Torrance
1150 W 200 S,Salt Lake City,UT,84104,801-324-5987,a,a,1,1,40.7649992,-111.9240049,528,Questar Gas - Salt Lake City
3145 N Western Ave,Chicago,IL,60618,562-493-2804  773-935-7200,a,a,1,1,41.9389352,-87.6871654,39186,Clean Energy - GrandSlam Marathon
3831 Powerline Rd,Pompano Beach,FL,33073,800-950-3835,a,a,1,1,26.276671,-80.1523358,47273,Clean N' Green - Waste Management
1905 Prospect Ct,Appleton,WI,54914,800-920-1166,a,a,1,1,44.245683,-88.483089,51612,Trillium CNG - Prospect Court - Appleton
102 SE 2nd St,Guymon,OK,73942,580-338-2414,a,a,1,1,36.678328,-101.481176,46192,Love's Country Store #19
1833 Tucker Industrial Rd,Tucker,GA,30084,562-493-2804,a,a,1,1,33.836213,-84.202982,36306,Clean Energy - PS Energy - Tucker
9535 S 13th St,Oak Creek,WI,53154,414-762-2370,a,a,1,1,42.87117,-87.933519,53780,Kwik Trip #422
3015 E Comstock Ave,Nampa,ID,83687,208-685-7739  208-345-1265,a,a,1,1,43.593304,-116.534414,36580,Clean Energy - Republic Services
33 Maxim Rd,Hartford,CT,6114,562-493-2804,a,a,1,1,41.742085,-72.658875,43699,Clean Energy - All WasteUSA Hauling
84 East J St,Chula Vista,CA,91910,800-411-7343,a,a,1,1,32.6319314,-117.0582237,939,Chula Vista Education Center
2270 46th St NW,Owatonna,MN,55060,507-446-8176,a,a,1,1,44.1388645,-93.2571518,49284,Kwik Trip #403
2424 5E Employee Rd,Irving,TX,75261,562-493-2804,a,a,1,1,32.876733,-97.039256,21975,Clean Energy - Dallas/Fort Worth Airport South
22800 E 78th Ave,Denver,CO,80249,562-493-2804,a,a,1,1,39.838153,-104.7090156,648,Clean Energy - Denver International Airport Rental Car
12641 N 39th Ave,Phoenix,AZ,85029,602-347-4834,a,a,1,1,33.6013089,-112.1419547,1286,Washington Elementary School District
McCarty Ave & Hoffman Ave,Albany,NY,12202,866-278-3674  518-473-6594,a,a,1,1,42.635536,-73.777047,12780,Clean Energy - New York State Office of General Services
2025 S 900 W,Salt Lake City,UT,84104,801-952-2940  801-886-7200,a,a,1,1,40.72719,-111.916598,37622,Blu LNG - Flying J Travel Plaza
1215 E 16th St,Dubuque,IA,52001,563-557-5180,a,a,1,1,42.512003,-90.656218,53313,Kwik Stop BP - 16th Street
1125 Broadway,Albany,NY,12204,866-278-3674,a,a,1,1,42.667569,-73.739345,703,Clean Energy - National Grid Albany
16645 Saticoy St,Van Nuys,CA,91406,213-244-5681,a,a,1,1,34.2090795,-118.4964425,1006,SoCalGas - Van Nuys Base
18 7th St,Marysville,CA,95901,800-684-4648,a,a,1,1,39.1430188,-121.5835832,26310,PG&E Marysville Service Center
3000 Old US Highway 85,Socorro,NM,87801,575-835-0240,a,a,1,1,34.04919,-106.892,36778,City of Socorro
112 Barlow Rd,Binghamton,NY,13904,866-278-3674  607-775-0522,a,a,1,1,42.102067,-75.837939,32836,Clean Energy - New York State Department of Transportation
624 W 15th St,Merced,CA,95340,800-684-4648,a,a,1,1,37.2999099,-120.4867831,30832,PG&E Merced Service Center
680 E Highway 152,Mustang,OK,73064,888-609-2410  800-664-5463,a,a,1,1,35.391652,-97.711708,20917,Oklahoma Natural Gas - Mustang Service Center
164 Pond St,Stoneham,MA,2180,617-242-8755,a,a,1,1,42.4636571,-71.0920014,20904,Alternative Vehicle Service Group - Stoneham
3545 Fairfield Rd,Curtis Bay,MD,21226,800-950-3835,a,a,1,1,39.232397,-76.572608,43630,Clean N' Green - Waste Management
2618 Monroe Rd,De Pere,WI,54115,920-339-4652,a,a,1,1,44.453927,-87.995461,53777,Kwik Trip #416
1126 Hammondville Rd,Pompano Beach,FL,33069,954-636-4291,a,a,1,1,26.235255,-80.139089,42087,Wise Gas
505 SE Transport Dr,Lee's Summit,MO,64081,949-437-1000,a,a,1,1,38.8935746,-94.3600882,53759,Lee's Summit - Kansas City Metro Area - Public Station
501 N 3rd St,Coshocton,OH,43812,740-327-7255  740-404-2123,a,a,1,1,40.278374,-81.8668607,19149,CNG Auto Sales
117 Doctors Path,Riverhead,NY,11901,631-548-7102,a,a,1,1,40.940179,-72.65268,18898,Clean Energy - National Grid Riverhead Service Center
2926 Smallman St,Pittsburgh,PA,15222,855-264-3835,a,a,1,1,40.4590653,-79.9741978,35780,EQT - Strip District
2541 Whilden Dr,Durham,NC,27713,877-776-2427,a,a,1,1,35.947924,-78.884114,48006,PSNC Energy
300 W Metz Rd,Perris,CA,92570,951-943-6369,a,a,1,1,33.7936691,-117.2340898,37122,Perris Union High School District - Public Access
6250 Packard Rd,Niagara Falls,NY,14304,716-827-5505,a,a,1,1,43.105566,-78.9930119,659,National Fuel - Niagara Falls
5901 Sheridan Blvd,Arvada,CO,80003,562-493-2804,a,a,1,1,39.8034939,-105.0528835,629,Clean Energy - Arvada
8515 San Leandro St,Oakland,CA,94621,562-493-2804,a,a,1,1,37.746211,-122.188413,30629,Clean Energy - CFN Olympian
1184 Lance Rd,Norfolk,VA,23502,757-466-5506,a,a,1,1,36.8662444,-76.2165194,1108,Virginia Natural Gas - Lance Rd
3200 E State Highway 158,Midland,TX,79702,713-296-7479,a,a,1,1,31.9824546,-102.0375306,50650,Apache Midland - Stripes #2285
2931 Rufina St,Santa Fe,NM,87507,562-493-2804  505-955-2001,a,a,1,1,35.6565689,-105.9966376,360,Clean Energy - Santa Fe Trails Transit
5495 Lakeland Dr,Flowood,MS,39232,601-982-1244,a,a,1,1,32.350721,-90.030272,43051,NGV Solutions LLC - Public Station
1601 W Airline Rd,Pauls Valley,OK,73075,405-207-9692,a,a,1,1,34.7046239,-97.2484831,47292,Love's Country Store #452
4735 Converters Dr,Appleton,WI,54913,920-830-3189,a,a,1,1,44.288733,-88.477893,51885,Kwik Trip #887
5488 Overland Ave,San Diego,CA,92123,213-244-5681,a,a,1,1,32.8335042,-117.1309957,952,SDG&E Service Center - Kearny
113 N Gulph Rd,King of Prussia,PA,19406,610-265-2222,a,a,1,1,40.085399,-75.390523,50051,Lehigh Gas - Exxon
2500 Royal Ave,Monona,WI,53713,608-221-0328,a,a,1,1,43.043003,-89.353363,50036,Speedway
W McKnight Way,Grass Valley,CA,95949,800-684-4648,a,a,1,1,39.19964,-121.061,792,PG&E Grass Valley Service Center
7507 Highway 31 E,Sellersburg,IN,47172,312-300-6700,a,a,1,1,38.37339,-85.7468,48904,AMP Americas
4355 Lafayette Blvd,Indianapolis,IN,46254,317-829-1478,a,a,1,1,39.834772,-86.2453931,31839,Indiana Geothermal
124 Old Riverhead Rd,Westhampton Beach,NY,11978,800-920-1166  801-674-5806,a,a,1,1,40.8298181,-72.6468268,44845,Trillium CNG - Suffolk County - Westhampton Airport
1271 River Dr N,Mankato,MN,56001,507-625-4190,a,a,1,1,44.188375,-94.0126398,53003,Kwik Trip #334
940 Baldwin Plaza Dr,Baldwin,WI,54002,715-684-5145,a,a,1,1,44.941085,-92.373645,53007,Kwik Trip #696
4520 Barksdale Blvd,Bossier City,LA,71112,318-741-8441,a,a,1,1,32.4717595,-93.6727339,36776,City of Bossier City
1326 S 4th St,Chickasha,OK,73018,405-222-2355,a,a,1,1,35.0373019,-97.937166,46198,Love's Country Store #86
10588 Route 68 N,Rimersburg,PA,16248,814-590-4498,a,a,1,1,41.0753475,-79.4829123,48500,"""O"" Ring CNG Fuels Systems - Innovative Entrepreneurs Inc"
2950 Ronemus Dr,Las Vegas,NV,89128,702-229-6971,a,a,1,1,36.214646,-115.257149,7018,City of Las Vegas
25 N Bicycle Path,Seldon,NY,11784,631-702-5957,a,a,1,1,40.8679541,-73.0341954,38567,Engineered Energy Solutions
11101 W Executive Dr,Boise,ID,83713,208-685-7739  208-345-1265,a,a,1,1,43.609303,-116.320022,34475,Clean Energy - Republic Services
2749 Loop 336 E,Conroe,TX,77301,800-950-3835,a,a,1,1,30.3319028,-95.4085402,43670,Clean N' Green - Waste Management
45149 Old Ox Rd,Sterling,VA,20166,562-493-2804,a,a,1,1,38.9791025,-77.4389239,49302,Clean Energy - Quarles- Washington Dulles International Airport
650 NW 27th Ave,Fort Lauderdale,FL,33311,954-636-4291,a,a,1,1,26.13065,-80.175803,35505,Wise Gas
200 E 9300 S,Salt Lake City,UT,84070,801-826-5252,a,a,1,1,40.58317,-111.884,42607,Canyons School District
2351 Goddard Ave,Norman,OK,73019,405-292-9709,a,a,1,1,35.2463887,-97.4616689,43651,City of Norman
18899 Snow Rd,Brook Park,OH,44017,562-493-2804,a,a,1,1,41.403106,-81.830147,41678,Clean Energy - Cleveland Hopkins International Airport
3526 Security St,Garland,TX,75042,562-493-2804,a,a,1,1,32.897241,-96.6837453,477,Clean Energy - Garland
15 Overland Industrial Blvd,Asheville,NC,28806,877-776-2427,a,a,1,1,35.520138,-82.60381,48005,PSNC Energy
16401 N Rockwell Ave,Edmond,OK,73013,405-348-3835,a,a,1,1,35.6375739,-97.6385544,35418,Total Express
500 Robbins Ln,Syosset,NY,11791,866-278-3674  631-632-9184,a,a,1,1,40.7973955,-73.5150471,27164,Clean Energy - New York State Department of Transportation
811 S Federal,Riverton,WY,82501,307-857-7583,a,a,1,1,43.015983,-108.378351,38180,Encana - Pit Stop Travel Center
1744 E Winsett St,Tucson,AZ,85719,562-493-2804,a,a,1,1,32.214438,-110.94581,29168,Clean Energy - Tucson Winsett
551 S Van Ave,Houma,LA,70363,985-580-3339,a,a,1,1,29.577535,-90.7104932,53316,Gaubert Food Marts Inc
6828 Pines Rd,Shreveport,LA,71129,318-687-1667,a,a,1,1,32.4445971,-93.8626908,42587,Time-it-Lube
490 E State St,Lindon,UT,84042,801-538-3440  800-678-3440,a,a,1,1,40.3465692,-111.7253046,23214,Alpine School District
1650 Patton Ct,Oxnard,CA,93030,213-244-5681,a,a,1,1,34.1916138,-119.1611598,1025,SoCalGas - Oxnard Base
17700 Indian Ave,Moreno Valley,CA,92551,562-493-2804,a,a,1,1,33.86373,-117.232,982,Clean Energy - Waste Management - Moreno Valley - Public Access
670 Allens Ave,Providence,RI,2903,866-278-3674,a,a,1,1,41.795367,-71.397758,788,Clean Energy - National Grid Providence
1136 N Elston Ave,Chicago,IL,60642,800-920-1166,a,a,1,1,41.9025057,-87.6574951,53314,Peoples Gas
333 Sacramento St,Auburn,CA,95603,800-684-4648,a,a,1,1,38.8888727,-121.0743561,835,PG&E Auburn Service Center
3401 S Radio Rd,El Reno,OK,73036,405-372-3579,a,a,1,1,35.505253,-97.900853,36588,OnCue Express #351
111 W Raymond St,Indianapolis,IN,46225,317-786-6253,a,a,1,1,39.7363349,-86.160971,147,Greene's Auto & Truck Service - Citizens Energy Group
11043 French Rd,Detroit,MI,48234,888-383-5648,a,a,1,1,42.408116,-83.009952,20914,DTE Energy - Lynch Rd
1123 W 3rd Ave,Denver,CO,80223,562-493-2804,a,a,1,1,39.7214101,-105.0035569,645,Clean Energy - Denver
5625 SW Wenger St,Topeka,KS,66609,801-324-3802,a,a,1,1,38.9711427,-95.7016121,60117,Questar Fueling - Topeka Station
60 S Spokane St,Seattle,WA,98134,800-663-4555  888-732-6487,a,a,1,1,47.572682,-122.33599,34242,Clean Energy - Seattle Station
1 NW 23rd St,Oklahoma City,OK,73103,405-557-1170,a,a,1,1,35.49341,-97.5116,36592,OnCue Express #101 - C-Store
714 Industrial Park Dr,Pell City,AL,35125,205-326-8180,a,a,1,1,33.601083,-86.260778,44840,Alagasco St Clair Operations Center - Public
1001 Cougar Way,Beaumont,CA,92223,951-845-3010,a,a,1,1,33.9543039,-116.9677825,34108,Beaumont Unified School District
3145 Dodd Rd,Eagan,MN,55121,651-405-8543,a,a,1,1,44.843626,-93.123586,53757,Kwik Trip #662
425 S 1778 E,Salt Lake City,UT,84102,801-538-3440  800-678-3440,a,a,1,1,40.7615049,-111.8378784,23217,University of Utah
2611 Greengate Dr,Greensboro,NC,27406,336-271-5030,a,a,1,1,36.025072,-79.796413,53319,Piedmont Natural Gas - Greensboro - Public Access Rear
41 N 6300 W,Hurricane,UT,84737,435-628-4858,a,a,1,1,37.1609283,-113.4354943,35385,Chevron Coral Canyon Market
1401 New Hampshire St,Rock Springs,WY,82901,307-352-7383  801-324-5987,a,a,1,1,41.5782346,-109.2042145,507,Questar Gas - Rock Springs
1615 Bronxdale Ave,Bronx,NY,10462,718-904-4504,a,a,1,1,40.8437076,-73.8576753,129,Con Edison - Van Nest Service Center
3105 8th Ave N,Birmingham,AL,35203,205-521-0170,a,a,1,1,33.5289852,-86.7945833,32154,Birmingham Jefferson County Transit Authority (BJCTA)
10 Harbor Lock Rd W,Utica,NY,13501,866-278-3674  315-733-2967,a,a,1,1,43.113083,-75.2183302,32970,Clean Energy - New York State Department of Transportation
4501 S 2700 W,Salt Lake City,UT,84119,801-965-4000,a,a,1,1,40.6691528,-111.9579339,23216,Utah Department of Transportation
25 N Lake Ave,Worcester,MA,1605,617-242-8755,a,a,1,1,42.275883,-71.760138,18891,Alternative Vehicle Service Group - Worcester
1030 Detroit Ave,Concord,CA,94518,800-684-4648,a,a,1,1,37.9561459,-122.028624,816,PG&E Concord Service Center
909 S Wharton St,El Campo,TX,77437,979-543-6284,a,a,1,1,29.189434,-96.2610841,53773,Apache El Campo
12698 Industry St,Garden Grove,CA,92841,213-244-5681,a,a,1,1,33.7790945,-118.0080865,1017,SoCalGas - Garden Grove Base
203 S Main,Kingfisher,OK,73750,405-375-5019,a,a,1,1,35.8598021,-97.932597,36589,Love's Country Store #5
2553 Riverside Pkwy,Grand Junction,CO,81501,970-244-1532,a,a,1,1,39.0704885,-108.579077,36775,City of Grand Junction - Public Access
5162 Munson Hwy,Milton,FL,32570,850-983-5401,a,a,1,1,30.6779492,-86.9929162,864,City of Milton
3751 Fraser St,Aurora,CO,80011,562-493-2804,a,a,1,1,39.767862,-104.813315,7043,Clean Energy - Natural
4040 S 80th St,Mesa,AZ,85212,800-950-3835,a,a,1,1,33.342023,-111.663908,43723,Clean N' Green - Waste Management
211 Triple V Cir,Sandersville,GA,31082,478-232-8034,a,a,1,1,32.959928,-82.812369,51033,Highland Energy - Sandersville
1211 N 2nd St,Millville,NJ,8332,800-716-5550,a,a,1,1,39.411616,-75.037463,47288,South Jersey Gas
7501 Grade Ln,Louisville,KY,40219,800-950-3835,a,a,1,1,38.1404534,-85.737987,48488,Clean N' Green - Waste Management
